NM_VOTAVEL,VR_RECEITA,DS_CARGO,QT_VOTOS,SG_PARTIDO
VANDERLAN VIEIRA CARDOSO,2751000,PREFEITO,398775,PSD
LUIZ ALBERTO MAGUITO VILELA,1569881.08,PREFEITO,494691,MDB
DIEGO VAZ SORGATTO,1360460,PREFEITO,48061,DEM
TALLES ALVES BARRETO,1196260,PREFEITO,5689,PSDB
ADIB ELIAS JUNIOR,1124780,PREFEITO,28984,PODE
GUSTAVO MENDANHA MELO,1114413.97,PREFEITO,197491,MDB
RUBENS AUGUSTO NADER,1003232.2,PREFEITO,14036,PSL
ADRIANA SAUTHIER ACCORSI,1000248.7,PREFEITO,80715,PT
ROBERTO NAVES E SIQUEIRA,942029.1,PREFEITO,183488,PP
ANTONIO ROBERTO OTONI GOMIDE,928429.2500000001,PREFEITO,114889,PT
ELIAS VAZ DE ANDRADE,913899,PREFEITO,24626,PSB
LÊDA BORGES DE MOURA,846076.6,PREFEITO,20559,PSDB
EDNA APARECIDA ALVES DOS SANTOS,800886,PREFEITO,15142,PODE
FLÁVIO DE PAULA CANEDO,799833,PREFEITO,6721,PL
SAMUEL GUILSIMAR ALMEIDA,766978,PREFEITO,7383,PROS
GEORGE MORAIS FERREIRA,749039.5,PREFEITO,14942,PDT
JOSÉ ANTÔNIO DA SILVA NETTO,731512.0800000001,PREFEITO,8054,REPUBLICANOS
PEDRO ANTONIO DE OLIVEIRA GONÇALVES,712545,PREFEITO,16803,MDB
JOAO ANTONIO FERREIRA,707912.44,PREFEITO,16768,PSD
SÔNIA CHAVES DE FREITAS CARVALHO NASCIMENTO,703608.22,PREFEITO,10988,PSDB
PÁBIO CORREIA LOPES,701450,PREFEITO,29241,MDB
CRISTIOMARIO DE SOUSA MEDEIROS,686452.54,PREFEITO,13364,PSL
DANIEL SABINO VAZ,685967.37,PREFEITO,9902,DEM
LEONARDO SILVA MENEZES,653860.09,PREFEITO,17646,DEM
CARLOS EDUARDO BELELI,641592.7,PREFEITO,4027,PSL
GUSTAVO MARQUES DE OLIVEIRA,617900,PREFEITO,18158,PODE
PAULO FARIA DO VALE,615109,PREFEITO,45580,DEM
OSVALDO FONSECA DE ALMEIDA JUNIOR,612150,PREFEITO,37402,MDB
ALEOMAR DE OLIVEIRA REZENDE,572900,PREFEITO,17857,MDB
WILDE LOPES RORIZ,571900,PREFEITO,16728,PSD
TIAGO FREITAS DE MENDONÇA,541725,PREFEITO,9708,DEM
JOSE ALVES VIEIRA,519374.7,PREFEITO,11104,PP
PEDRO JOAO FERNANDES,506286.33999999997,PREFEITO,6301,PP
PAULO ROBERTO DE ARAUJO,483066.51,PREFEITO,5040,PP
DIONE JOSÉ DE ARAUJO,480837,PREFEITO,16640,DEM
MARCIO AURELIO CORREA,457187.89,PREFEITO,29044,MDB
DIVINO PEREIRA LEMES,452860.04000000004,PREFEITO,17279,PODE
ADELIO ALVES PRADO NETO,442933.67,PREFEITO,4577,DEM
VANUZA PRIMO DE ARAUJO VALADARES,437746.98,PREFEITO,7668,PODE
MÁRCIO LUÍS DA SILVA,430000,PREFEITO,7623,MDB
MERCIA REGEANE LIMA DE OLIVEIRA CESILIO,429136.33,PREFEITO,6785,PTB
HUMBERTO DE FREITAS MACHADO,419624.91000000003,PREFEITO,23546,MDB
EURIPEDES JOSE DO CARMO,419600,PREFEITO,7266,PSC
FÁBIO CORREA DE OLIVEIRA,388250.95,PREFEITO,15127,PP
FERNANDO PELLOZO,387430,PREFEITO,36807,PSD
CARLOS ALBERTO LEREIA DA SILVA,384289.77,PREFEITO,8775,PSDB
VALERIANO PEREIRA DE ABREU,382913.85,PREFEITO,7237,PSL
MARIA IDALI DA SILVA BONTEMPO,381800,PREFEITO,4549,PSL
MARDEN GABRIEL ALVES DE AGUIAR JUNIOR,376650,PREFEITO,21930,PATRIOTA
MARCIA INES ALVES NUNES CALDAS,370800,PREFEITO,6235,AVANTE
ADAIR HENRIQUES DA SILVA,368004.12,PREFEITO,6224,DEM
ANDERSON DE PAULA SILVA,363590,PREFEITO,13793,PDT
JOAO ALBERTO VIEIRA RODRIGUES,361845,PREFEITO,11365,PATRIOTA
WALLISSON JOSE DE FREITAS,361437,PREFEITO,2019,PSC
JANAYNA WOLLP DA SILVA LUCIO,356726.61,PREFEITO,7572,PSC
GUSTAVO KOPPAN FAIAD SEBBA,352500,PREFEITO,4869,PSDB
KLEBER LUIZ MARRA,350845,PREFEITO,27099,REPUBLICANOS
JOÃO BATISTA GOMES PINTO,339500,PREFEITO,1291,PSDB
ROGÉRIO REZENDE SILVA,338652.94,PREFEITO,11491,PRTB
PAULO VITOR AVELAR,337452.45999999996,PREFEITO,10499,DEM
ROGÉRIO PALMEIRA ESSADO,333000,PREFEITO,4397,DEM
ELDER GALDINO PEREIRA,331210.85,PREFEITO,14356,MDB
FLAVIANE BALDO SCOPEL BARBOSA,318770,PREFEITO,9133,CIDADANIA
CLAUDIOMAR CONTIN PORTUGAL,316724.1,PREFEITO,4608,PP
CARLOS ALVES DOS SANTOS,316500,PREFEITO,15671,PL
JEAN CARLOS ANTUNES CINTRA,311303.4700000001,PREFEITO,5362,PROS
VALMIR PEDRO TEREZA,301905.58999999997,PREFEITO,9919,PSDB
FLAVIA RESENDE OLIVEIRA VILELA,298056.30000000005,PREFEITO,12642,DEM
ALEANDRO OLIVIO CALDATO,297637.5,PREFEITO,12228,DEM
VIRMONDES BORGES CRUVINEL FILHO,295333,PREFEITO,9845,CIDADANIA
JOAQUIM GUILHERME BARBOSA DE SOUZA,294204.32,PREFEITO,10440,PSDB
REINALDO CÂNDIDO DA SILVA,291930,PREFEITO,4684,CIDADANIA
BAILON NUNES DA SILVA,288570.85,PREFEITO,3286,PP
RONALDO FERNANDES DE QUEIROZ,288171.12,PREFEITO,4170,PTB
NÁRCIA KELLY ALVES DA SILVA,285462.5,PREFEITO,9033,PP
ANTONIO LUCIANO BATISTA DE LUCENA,282800,PREFEITO,3633,PSDB
JOSÉ ANTONIO LOPES COELHO,278366.45,PREFEITO,2950,PODE
LUDMILA DE QUEIROZ COZAC ROOS MACHADO,276119.15,PREFEITO,4647,MDB
WILBER FLORIANO FERREIRA,265449.55,PREFEITO,2508,PTB
AZARIAS MACHADO NETO,264829.77,PREFEITO,9701,DEM
GERALDO LUIZ SANTANA,261205,PREFEITO,4251,PP
HERNANY BUENO DE ARAUJO,258142.52000000002,PREFEITO,13381,SOLIDARIEDADE
ALLAN PAES XAVIER,255202.5,PREFEITO,4063,MDB
AMÉLIO REIS RABELO JÁCOMO,254997,PREFEITO,5833,CIDADANIA
ALLYSSON SILVA LIMA,251512.64,PREFEITO,7080,PP
CRISTIANO DE MORAES CUNHA,250400,PREFEITO,1364,PV
AMAURY SILVA DE SANTANA,250309.93,PREFEITO,806,PTB
EDUARDO PAGNONCELLI PEIXOTO,242693.03000000003,PREFEITO,3514,DEM
TIAGO GOMES ASSIS,242617.2,PREFEITO,2058,PSL
DALMO MACHADO BORGES,241200,PREFEITO,2645,PL
EDMARIO DE CASTRO BARBOSA,236020.2,PREFEITO,6347,CIDADANIA
RODRIGO MIRANDA MENDONÇA,235150.7,PREFEITO,2575,PDT
TATIANA RANNA DOS SANTOS,233195,PREFEITO,2931,DEM
PATRICIA AMARAL FERNANDES,229674.12,PREFEITO,2555,SOLIDARIEDADE
ALEX JOSÉ BATISTA,224569.4,PREFEITO,9043,MDB
CLEOMAR MARTINS DE ARAÚJO,223236.99,PREFEITO,2664,PSL
MARIA APARECIDA MARASCO TOMAZINI,218937.46,PREFEITO,7631,PODE
MARIA APARECIDA GOMES LIMA,215630,PREFEITO,3569,PTC
RENATO CUNHA DA CÂMARA,215417.81000000003,PREFEITO,2654,MDB
GILMAR ALVES DA SILVA,212850,PREFEITO,8538,MDB
ELVIS DE SOUZA SANTOS,210960,PREFEITO,1595,SOLIDARIEDADE
HUGO SERGIO BATISTA,210883.85,PREFEITO,5325,AVANTE
AZAIDE DONIZETTI BORGES MARTINS,206955,PREFEITO,7852,PP
LUIZ BORGES DA CRUZ,204603.28,PREFEITO,2866,PSD
ALYSSON FRANCISCO DE LIMA,201781,PREFEITO,16644,SOLIDARIEDADE
ANDRÉ LUIZ GOMES GONTIJO,197631.30000000002,PREFEITO,10011,MDB
RITA DE CASSIA SOARES MENDONÇA,197600,PREFEITO,13999,PSB
HELDER SILVA BONFIM,196059.12,PREFEITO,4282,SOLIDARIEDADE
ADERSON LIBERATO GOUVEA,192453.51,PREFEITO,4176,PT
JOSE DE ARAUJO LIMA,191620,PREFEITO,2116,PDT
LUCIJANE FREIRES ALENCAR CARLOS DA SILVA,190904.22999999998,PREFEITO,2996,MDB
CAIO DE SOUSA PEREIRA LIMA,190833.6,PREFEITO,1979,PP
TERCIO GONÇALVES DE MENEZES,190700,PREFEITO,4467,PSD
MARIA LUCIA MOURA BARBOSA,190430.78,PREFEITO,6608,PP
CARLOS ALVES DO EGITO,190292.26,PREFEITO,12913,PROS
WANDER SARAIVA DE CARVALHO,189461.06,PREFEITO,5053,PP
AVIMAR TEODORO DE OLIVEIRA JÚNIOR,189316.81,PREFEITO,4230,MDB
CARLOS ALBERTO ANDRADE OLIVEIRA,183574.22,PREFEITO,17280,PSDB
ANDERSON JOSE TONIAZZO,183100,PREFEITO,2336,MDB
CARLOS SEIXO DE BRITO JUNIOR,182984.41999999998,PREFEITO,4077,CIDADANIA
ARGEMIRO RODRIGUES SANTOS NETO,182966.83,PREFEITO,4472,DEM
VALDOMIRO ALBINO MARÇAL MOTA,181496.14,PREFEITO,6350,PP
TIAGO PACHECO DE JESUS,180008.16,PREFEITO,3288,PSL
ANA CLAUDIA LEMOS OLIVEIRA,178995.18,PREFEITO,3632,MDB
MILTON JUSTUS,178850,PREFEITO,2591,CIDADANIA
ADEMIR GUERREIRO BARBOSA,178270,PREFEITO,1121,PSC
VERONICE COELHO FURTADO,176300,PREFEITO,2920,DEM
RAFAELL DIAS MELO,176175,PREFEITO,6051,PP
WILSON CARVALHO BARROSO FILHO,173172.91999999998,PREFEITO,32179,DEM
VALDEMAR PAULA DA SILVA,172363.38,PREFEITO,1633,PT
FRANCISCO DE ASSIS PEIXOTO,170240.68,PREFEITO,4277,PSDB
WALTENIR VICENTE NETO,170150,PREFEITO,3254,PP
KÉLEN DE MELO NOGUEIRA,170000,PREFEITO,2180,PSL
JOSE WAGNER NEVES DE ANDRADE,169978.54,PREFEITO,4127,DEM
JOSÉ DÉLIO ALVES JÚNIOR,169650.63,PREFEITO,8467,DEM
VALDEMAR BATISTA COSTA,168975.93,PREFEITO,3625,DEM
LUIZ CARLOS ATTIÉ,167546.84,PREFEITO,3105,PODE
FERNANDO CARNEIRO DA SILVA,166799.53,PREFEITO,9135,PSD
JURANDYR CÂNDIDO JUNIOR,162940.5,PREFEITO,1180,PSB
SAMUEL DOS REIS COTRIM,162623.09999999998,PREFEITO,4283,PP
DÉBORA DOMINGUES CARVALHÊDO BARROS,159900,PREFEITO,3037,PL
EDSON SOARES DE PAULA,159768.91,PREFEITO,6667,PSDB
COLEMAR CARDOSO DE QUEIROZ,158771.37,PREFEITO,3629,PSDB
ELLEN REZENDE DE LIMA MENESES,157100,PREFEITO,3182,PSB
DANIEL GONÇALVES DE OLIVEIRA,156636.09,PREFEITO,2842,MDB
GLACIEL DE SOUZA ANDRADE,156381.59,PREFEITO,864,PSL
WELLINGTON RODRIGUES PEIXOTO,156225,PREFEITO,1441,PATRIOTA
FERNANDO PAULINO DA SILVA,154073.71000000002,PREFEITO,1614,PP
KELLYCE RODRIGUES MOURÃO,153642.12,PREFEITO,945,PSL
MARCUS ADILSON RINCO,152029.99,PREFEITO,1817,DEM
SOLANGE MARIA DE ANDRADE VALENTE,151700,PREFEITO,1409,PDT
CYRO DE MELO PEREIRA,150500,PREFEITO,4991,PSDB
OZEAS GOMES DE MORAIS,148250,PREFEITO,5074,PRTB
HERMANO DE CARVALHO,148200,PREFEITO,2531,PSDB
JANIO PACHECO,148147.3,PREFEITO,5027,PODE
UILTON PEREIRA DOS SANTOS,148000,PREFEITO,2961,PSC
WESLEY MEDEIROS DA COSTA,148000,PREFEITO,707,PATRIOTA
VANDO VITOR ALVES,147241.91999999998,PREFEITO,9228,PSDB
EDSON BUENO COUTINHO,146325,PREFEITO,3298,PSB
FLAVIO DIVINO MAURICIO DE MOURA,146275,PREFEITO,3069,PDT
VALTER ALEIXO,145636.96000000002,PREFEITO,4203,PSC
ELBER CARLOS SILVA,145461,PREFEITO,3095,AVANTE
DJALMA GOMES DA SILVA,144375.52000000002,PREFEITO,2235,PODE
COSMO CESAR DOS SANTOS,143717.6,PREFEITO,3920,PSC
PLÍNIO LUÍS NUNES DE PAIVA,143695.9,PREFEITO,1307,PL
NILZA MARIA BARBOSA,143480,PREFEITO,3234,SOLIDARIEDADE
GIOVANE RICARDO FERREIRA DA SILVA,141860,PREFEITO,2440,PSL
AUROLINO JOSE DOS SANTOS NINHA,139927.25,PREFEITO,2586,PDT
THIAGO SOUZA BORGES,139140,PREFEITO,1665,MDB
FAUSTO BRITO LUCIANO,139126.31,PREFEITO,1197,PSL
CRISTINA LOPES AFONSO,138884,PREFEITO,18280,PL
ANDRÉ RIBEIRO BORGES MARQUES,138638,PREFEITO,1546,PSL
ALCIDES DE SÁ SOARES,138004.56,PREFEITO,2529,PSB
LAZARO LUCIANO DI FRANCO LIMA E SOUZA,137901.36,PREFEITO,5324,PSD
GIL TAVARES,136800,PREFEITO,8282,REPUBLICANOS
WISNER ARAÚJO DE ALMEIDA,136730,PREFEITO,2654,PP
JOÃO ALFREDO DE MELLO NETO,136551.52000000002,PREFEITO,1743,PP
MARLENE LOURENÇO,135492.53,PREFEITO,1693,REPUBLICANOS
MARIA LUCÉLIA DO PRADO,135160.74,PREFEITO,1335,PTB
FRANCISCO PEDRO DE AGUIAR,134800,PREFEITO,1479,PSL
EVANDO DIVINO DA CRUZ,134737.84,PREFEITO,2518,PROS
PABLO GEOVANNI MOREIRA BATISTA,133923.75,PREFEITO,4087,PSD
FRANCISCO DE ASSIS MENDES,132400,PREFEITO,1274,PDT
WEBER REIS LACERDA,130880,PREFEITO,1723,SOLIDARIEDADE
PAULO CESAR JOSE DO NASCIMENTO,130773.8,PREFEITO,7068,DEM
MARIO JOSE SALLES,130010.54000000001,PREFEITO,5974,PSDB
HUMBERTO EVANGELISTA,130000,PREFEITO,1439,PSD
JOSÉ APARECIDO ALVES DINIZ,129925.70999999999,PREFEITO,4503,PP
ANDRE DE SOUSA CHAVES,129750,PREFEITO,3241,MDB
SUZANKERLLY GONÇALVES LOPES DA SILVA CASTRO,127365.94,PREFEITO,964,PSB
JOÃO ALECIO MENDES,126700,PREFEITO,2763,PL
BARTOLOMEU HONORIO DO NASCIMENTO,126400,PREFEITO,3469,DEM
JOSÉ ANTONIO NETO SIQUEIRA,125830,PREFEITO,2429,PP
EVANDRO DE AZEVEDO PAGANINI,125716.48999999999,PREFEITO,2145,PSD
ERIC DE MELO SILVEIRA,125319.79,PREFEITO,1993,PP
NEI DOS REIS CRUZ,125303.23000000001,PREFEITO,3158,PP
EMERSON ALVES DE LIMA,125169,PREFEITO,4149,PP
EDJANE ALVES DE ALMEIDA,123052.58,PREFEITO,3063,PL
SILVANO PEREIRA NETO,122838.91,PREFEITO,2706,PT
ROBERTA RODRIGUES RIBEIRO RICIOLI,122452.18,PREFEITO,2150,PROS
DALGOBERTO WELDON NOGUEIRA NEVES,121500,PREFEITO,495,PODE
ALEX DE QUEIROZ,121000,PREFEITO,1563,PSD
ADALCINO ROSA DA SILVA,120509,PREFEITO,1526,PDT
WINICIUS ARANTES DE MIRANDA,120014,PREFEITO,1334,PSL
NAÇOITAN ARAUJO LEITE,119588.46,PREFEITO,6017,PSDB
JEOVA LEITE CARDOSO,118909.84,PREFEITO,3484,CIDADANIA
JOAO BATISTA ALVES,118900,PREFEITO,4514,MDB
DINO MORAES DE SOUSA,118650,PREFEITO,1648,CIDADANIA
EURIPEDES RIBEIRO DOS PASSOS,117918.28,PREFEITO,1936,PP
CARLOS JOSÉ MAYER DOS SANTOS,117549.23,PREFEITO,3565,DEM
RENIS EUSTAQUIO GONÇALVES,117204.41,PREFEITO,2215,MDB
DIONE ALVES DE OLIVEIRA NAVES,117004.84,PREFEITO,2518,MDB
RICARDO GALVÃO DE SOUSA,115800,PREFEITO,4274,REPUBLICANOS
RONNE CEZAR MARTINS,115116.88,PREFEITO,1174,PSD
GABRIEL FORNIELES MOREIRA,114816.94,PREFEITO,2142,DEM
VILMAR SOUZA COSTA,114256.12999999999,PREFEITO,1959,PSB
OZIRES GOMES DE FREITAS,114070,PREFEITO,1114,MDB
GERALDO PAULO FERNANDES,113323.65,PREFEITO,8462,PT
JULIO PINA NETO,112690,PREFEITO,1923,PRTB
GABRIEL DA SILVA FALEIROS,112172.15,PREFEITO,3325,PSD
IVON JOSE VALENTE,111652.15,PREFEITO,542,PT
ERIVALDO ALEXANDRE DA SILVA,111446.68,PREFEITO,3125,PL
ALEXANDRE HENRIQUE VAZ DA MOTA,109375.91,PREFEITO,2601,PSD
HAICER SEBASTIÃO PEREIRA LIMA,109140,PREFEITO,4109,PL
ZILOMAR ANTONIO DE OLIVEIRA,108525,PREFEITO,7868,PSD
JHONATTA CORTEZ DA SILVA,107480.45,PREFEITO,1461,DEM
FÁBIO LASSERRE SOUSA BORGES,107375.06,PREFEITO,2376,PSL
RICARDO YANO,107170.55,PREFEITO,2203,PP
ANA PAULA LIMA DE OLIVEIRA,106780,PREFEITO,1099,SOLIDARIEDADE
FAUSTO MARIANO GONÇALVES,106600,PREFEITO,2541,DEM
MAURIVAN ALMEIDA TAVARES,106294,PREFEITO,2553,PSDB
CLEBER JUNIO DE SOUZA,105739.9,PREFEITO,1413,PSL
JOAO HELIO LIMA NETO,105407.67,PREFEITO,2022,PDT
NATAL DE CASTRO RODRIGUES,104800,PREFEITO,1348,PL
ITAIR NUNES DE LIMA JUNIOR,104772.83,PREFEITO,1389,PSL
KLEBER FRANÇA PEREIRA,104600,PREFEITO,1161,PATRIOTA
FERNANDO LUIS PEREIRA OLIVEIRA,104427.11,PREFEITO,5923,MDB
CLAUDIA VALÉRIA ALVES DE MORAES ARAÚJO,104130,PREFEITO,1380,PP
LUCIO PIRES DOS SANTOS,103646.9,PREFEITO,1978,PP
CLAILTON FERREIRA BORGES FILHO,103500,PREFEITO,4339,PSDB
KLEBER COSME DE FREITAS,102977.5,PREFEITO,2249,PP
ILDETE GOMES FERREIRA,102700,PREFEITO,2818,DEM
DIVINA LUCIA DE ALMEIDA DIAS,102564.3,PREFEITO,1459,PP
MARIA AMELIA DE ARAUJO,102288,PREFEITO,1005,PSD
ITAMAR LEAO DO AMARAL,102194.04,PREFEITO,3299,PSDB
GENILVA KATIA RODRIGUES DE ASSIS,101536.81,PREFEITO,2481,REPUBLICANOS
RUBENS FRANCISCO LOPES,100600,PREFEITO,1452,DEM
CLAYTON PEREIRA DE MELO,100339.51000000001,PREFEITO,2871,DEM
ALEXANDRE CESAR BATISTA FREIRE,100000,PREFEITO,4657,PSD
ENNIO FERREIRA BASTOS,100000,PREFEITO,85,PSB
KEDMA KAREN DA SILVA,99433.28,PREFEITO,1033,PT
ADALBERTO DOS SANTOS AMORIM,98498.62999999999,PREFEITO,1408,PSDB
